,Temp,ENMO,phi,PIMENMO,ZCRENMO,TATENMO,PIMx1,ZCRx1,TATx1,PIMx2,ZCRx2,TATx2,PIMx3,ZCRx3,TATx3,PIMy1,ZCRy1,TATy1,PIMy2,ZCRy2,TATy2,PIMy3,ZCRy3,TATy3,PIMz1,ZCRz1,TATz1,PIMz2,ZCRz2,TATz2,PIMz3,ZCRz3,TATz3,ffx,powerPercentx,ffy,powerPercenty,ffz,powerPercentz,HeartPower,bodyMovPower,QuickPower,JerkPower,Arousal,Annotations
0,-0.08898036163881418,91.53003538445077,40.09867405603012,2748.299058223961,9.1,24.8,6.153661554183469,0.9,7.68,1.3257647889551645,0.0,0.0,10.674490547011423,2.0,7.4,9.579930194215484,0.3,4.84,0.7957809045756534,0.2,0.04,9.98866385358938,0.7,4.76,5.737361064995162,1.2,8.16,1.407459959032284,0.6,3.4,8.249054822492532,2.6,5.68,0.30602834655030214,1.5293350578334741,0.254640004613838,1.6744960721729893,0.1908062663738861,2.4999146917436708,0.1762520347416352,0.12186276663688782,0.07969494878038245,0.0013103846962774996,0.0,0.0
1,-0.17459995422293026,2.2784593469137953,22.08251116821424,67.79834172579336,6.5,5.44,1.3799017508716487,5.9,5.36,0.24818571933265965,9.7,6.08,0.3038721468984201,6.6,8.24,1.141593676421716,2.6,8.36,0.06713269801507057,3.9,4.0,0.21054725803526964,4.7,3.24,1.407767955557639,3.3,3.12,0.23309248665984578,3.0,5.84,0.15101141265267093,3.2,7.92,0.24537137927326041,2.0046464166819633,0.28302573110821516,1.6741708096717736,0.22751460813232344,1.8485670227936823,0.31065015247271555,0.09208893301531938,0.14074277177622016,0.0031951480982584943,0.0,0.0
2,-0.16319734493018584,0.0873382969914052,22.565289875273574,2.623647105883354,3.2,1.96,0.15052693231459457,0.2,0.04,0.15206932277825772,2.2,0.44,0.1267283663072226,4.7,1.0,0.06941416469938616,4.7,4.4,0.08423620974475415,5.1,5.28,0.10800772804194522,6.6,6.68,0.10985985364575732,4.7,6.64,0.12115186579046802,3.7,7.32,0.11069610002564634,4.0,6.16,0.19592586898894446,1.7674470155403332,0.18125875328696436,2.4165417127895936,0.23848627860985344,2.802240373571148,0.371595254235576,0.24343567050822687,0.21506931660750414,0.004314576700278225,0.0,0.0
3,-0.16739830624856536,0.18432303959713106,22.326049799855756,5.537073953184839,3.8,2.48,0.09418487088201732,8.0,2.08,0.1579346516515442,8.7,2.44,0.333807257227583,8.4,2.32,0.135565049918143,4.6,7.8,0.15599840470786724,3.0,8.4,0.24566953071153874,5.2,6.68,0.25140037314375374,3.0,6.28,0.239223766327383,3.4,5.28,0.24563976371312646,5.5,5.56,0.2186166654630412,1.87604682447096,0.25473652093237675,1.7231700100017668,0.2426135545142213,2.029415262858014,0.37201935665700814,0.2457915161785756,0.18603694631747317,0.0022114379841714315,0.0,0.0
4,-0.1561957427328866,0.9957439384552315,21.979299597810847,29.912201088441506,5.6,3.8,3.667344635525393,5.4,4.2,0.22812992651463412,8.1,2.56,0.198241984089558,11.8,3.72,0.5969421801587982,2.4,2.36,0.15450571643957428,8.8,2.72,0.06698958631933663,11.9,5.72,0.9964421773006426,2.9,5.84,0.19551153853408568,0.5,2.28,0.3703174734479233,0.8,0.32,0.21907169452819386,1.888945074340398,0.27118954319299343,2.830876518188125,0.23960277263497948,3.092053727898193,0.2978546620261785,0.06782067063041201,0.1794616058555929,0.0019793912971171035,0.0,0.0
5,-0.17459995422293026,0.10615547834488344,23.31748743792173,3.188916238664719,2.4,1.72,0.17933472973606407,8.9,2.6,0.1563050005653183,1.2,0.28,0.15419187846219606,0.4,0.08,0.12121394219710874,0.2,9.96,0.09754226926903413,11.3,4.6,0.07262419331648676,10.0,2.92,0.3087808420884268,2.3,2.32,0.16347452786472078,0.2,9.96,0.13187086114382007,0.2,9.96,0.19937240652200386,1.5816503793583347,0.2122299430272801,3.1720449193986897,0.24839141381132968,2.405891842892722,0.2424852685982382,0.2942288419240896,0.09324911176498628,0.0027174202030524363,0.0,0.0
6,-0.14359285877774802,0.024953799140401488,23.631232265752754,0.7496134588238035,1.0,0.56,0.1249902290415947,1.4,0.36,0.1251600334963106,3.8,0.76,0.08578662555922956,6.3,6.24,0.10459634459712606,10.9,5.84,0.12232222579430341,8.0,7.08,0.1563844734684516,3.0,8.72,0.15220042249474006,3.8,0.88,0.15508341322626307,2.8,0.84,0.17863440335110203,2.4,3.04,0.20948340115124697,1.8049008154959985,0.24738981805446494,1.7053872658817943,0.23808305972831137,2.494963986358683,0.34102996021444065,0.26132706185643173,0.20776200800040762,0.005541478347122168,0.0,0.0
7,-0.12578878461890147,0.11314966364026623,23.849463103183943,3.3952863633535686,3.1,2.24,0.12457515148562534,8.6,7.12,0.14443283910648336,4.2,8.76,0.13316206842476358,7.7,7.92,0.15493005925831943,3.8,2.68,0.17860672445484999,4.0,2.76,0.1887443575991609,3.0,2.76,0.179019399007796,2.9,3.36,0.19021113321401895,4.1,3.8,0.1937387678358204,3.5,4.12,0.2104380993846897,1.411702499423915,0.2669890206921242,3.1843784527938546,0.23609176465363574,2.726581124165959,0.25495790786443007,0.2834919996171916,0.24147315989066404,0.004347334831546104,0.0,0.0
8,-0.16779839780269673,101.93493975900897,-1.042320462380308,3061.9465293787525,3.1,17.44,0.13779159821095643,0.0,0.0,5.769674722192346,1.7,4.68,24.180508110721668,2.1,7.8,0.13603432315299152,0.0,10.0,2.2104083992048147,0.0,10.0,15.385983338765298,1.1,1.24,0.1709613503793156,0.0,10.0,13.892054347370717,0.7,6.88,15.749165954614522,1.1,1.2,0.1955673781123227,1.8463809257042634,0.22403941441875944,1.8566373269270577,0.2349998022245207,2.9101697780807294,0.14554151639043728,0.0997604765541146,0.16603278438150212,0.001453709874192365,0.0,0.0
9,-0.14359285877774805,30.503543084153353,13.335724344186977,911.8640152032979,8.4,12.52,8.906352135990364,5.4,4.68,0.3058885747981628,0.0,0.0,6.791142853112305,1.1,0.44,4.334099431242326,2.7,4.2,0.1829533261903954,0.0,10.0,0.927575127720158,1.2,9.64,8.327561704263612,1.2,6.12,0.2309096508202645,0.0,0.0,9.421794569042017,0.8,0.24,0.20147640382937462,1.825135055739058,0.24899497928821107,2.6914382937355894,0.2274655986116837,1.423954845273354,0.29107830947419383,0.06677382604878175,0.1505307344824475,0.004361496378949678,0.0,0.0
